hours,drive_transit,ride_hail,walk,walk_transit
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,4.0,0,6.0
8,1.1666666666666665,648.0,148.0,695.0
9,7.583333333333331,848.7500000000001,1780.0833333333333,2698.6666666666665
10,0,143.0,889.666666666667,966.5833333333336
11,0.8333333333333333,298.0,585.0,517.5
12,0.5,244.0,444.8333333333333,609.8333333333333
13,0.8333333333333333,347.0,298.0,559.5
14,0.5,239.0,480.0,611.5
15,0.5,280.0,524.3333333333334,666.8333333333333
16,0,372.0,681.0,473.5
17,2.5,480.0,1003.0,647.0
18,0,1689.5,4298.666666666668,1324.0000000000002
19,1.1666666666666665,479.3333333333333,998.1666666666666,699.8333333333333
20,0,306.0,614.0,267.33333333333337
21,0,34.0,35.5,45.5
22,0,0,1.0,3.0
23,0,0,1.0,0
