hour,numPassengers,vkt
6,0,1631.1439999999998
6,1,0.0
7,0,168035.1469999998
7,1,1114181.2039999957
8,0,1352208.7709999983
8,1,3545760.4310000003
9,0,189973.92400000003
9,1,1582704.4299999988
10,0,104863.91800000028
10,1,894831.330999999
11,0,84641.898
11,1,891447.8099999999
12,0,128714.37599999993
12,1,1620693.6060000025
13,0,87514.39000000003
13,1,675039.9939999995
14,0,79981.03699999985
14,1,1095398.3050000004
15,0,90358.15099999998
15,1,757963.6499999999
16,0,131944.43900000022
16,1,1754311.2190000014
17,0,468548.675
17,1,3686165.82199999
18,0,1387398.665
18,1,5852395.103000023
19,0,90235.80599999998
19,1,2951099.260000003
20,0,47389.46299999998
20,1,1435033.489999998
21,0,2028.272
21,1,196867.2660000001
22,0,0.0
22,1,35694.276
