Bin,AverageLinkSpeed
0,100.0
1,100.0
2,100.0
3,100.0
4,100.0
5,100.0
6,100.00000000000003
7,99.99813310432802
8,99.04821771444983
9,99.05104970433155
10,99.54251297340517
11,99.54492520279811
12,99.53429006710473
13,99.44255525028703
14,99.50080314966812
15,99.62799152375787
16,99.3304884171699
17,99.33823908421661
18,97.84012394203462
19,98.45062377887433
20,98.66379122755107
21,98.78820081456844
22,98.83501674963016
23,99.10710544320102
24,99.42902301905048
25,99.58982531462406
26,99.70002981053602
27,99.86486623936493
28,99.94460906642635
29,99.99999999999993
30,100.0
