modeChoiceReplanningEventChain,count
drive_transit-Replanning-walk_transit,14
walk_transit-Replanning-walk_transit-Replanning-walk_transit-Replanning-walk,8884
walk_transit-Replanning-walk,61
ride_hail-Replanning-ride_hail,3
walk_transit-Replanning-walk_transit-Replanning-walk,29
walk_transit-Replanning-walk_transit,978
drive_transit-Replanning-walk_transit-Replanning-walk_transit,5
drive_transit-Replanning-walk_transit-Replanning-walk_transit-Replanning-walk,9
drive_transit-Replanning-walk,5
ride_hail-Replanning-drive_transit-Replanning-walk_transit-Replanning-walk,3
walk_transit-Replanning-walk_transit-Replanning-walk_transit,1013
ride_hail-Replanning-walk,23
ride_hail-Replanning-drive_transit-Replanning-walk_transit,1
