iterations,drive_transit,ride_hail,walk,walk_transit
0,27.416666666666668,6724.25,12479.91666666667,10770.41666666667
1,16.5,6406.333333333332,12775.166666666668,10804.0
2,15.583333333333332,6412.583333333333,12782.250000000002,10791.583333333334
3,16.166666666666664,6328.166666666667,12859.166666666666,10798.5
4,16.916666666666668,6067.083333333333,13078.25,10839.750000000002
5,16.333333333333332,6014.833333333334,13126.999999999998,10843.833333333336
6,15.0,5962.166666666667,13174.333333333334,10850.5
7,16.083333333333332,5801.583333333334,13322.749999999998,10861.583333333334
8,14.249999999999998,5774.583333333334,13319.916666666666,10893.25
9,14.583333333333332,5722.916666666667,13391.416666666666,10873.083333333334
10,15.5,5748.666666666667,13321.333333333334,10916.500000000002
